Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
725_composite_PHILEMON.tif	Tile 1	Other	Image	Geometry	3820.3	325.85	141200.5	1744.9
725_composite_PHILEMON.tif	Tumor	Tumor	Tile 1	Geometry	3761.6	335.19	12738.7	3908
725_composite_PHILEMON.tif	ASMA	ASMA	Tumor	Geometry	3809.3	362.63	103.65	118.3
725_composite_PHILEMON.tif	Stroma	Stroma	Tile 1	Geometry	3869.6	322.22	50133.5	9969
725_composite_PHILEMON.tif	ASMA	ASMA	Stroma	Geometry	3947.2	283.63	1356.8	1126.5
725_composite_PHILEMON.tif	Tile 2	Other	Image	Rectangle	4250.9	250.05	250106.2	2000.4
725_composite_PHILEMON.tif	Tumor	Tumor	Tile 2	Geometry	4289.6	273.74	104627.6	12662.9
725_composite_PHILEMON.tif	ASMA	ASMA	Tumor	Geometry	4215.6	293.11	577.49	637.38
725_composite_PHILEMON.tif	Stroma	Stroma	Tile 2	Geometry	4173.3	225.2	58855.4	10241.4
725_composite_PHILEMON.tif	ASMA	ASMA	Stroma	Geometry	4262.4	252.13	4271.5	2992.7
725_composite_PHILEMON.tif	Tile 3	Other	Image	Rectangle	4751	250.05	250106.2	2000.4
725_composite_PHILEMON.tif	Tumor	Tumor	Tile 3	Geometry	4772.1	236.69	96622.1	12475.7
725_composite_PHILEMON.tif	ASMA	ASMA	Tumor	Geometry	4767.1	348.67	1449.6	1264.2
725_composite_PHILEMON.tif	Stroma	Stroma	Tile 3	Geometry	4787	260.4	38924.7	7996.4
725_composite_PHILEMON.tif	ASMA	ASMA	Stroma	Geometry	4783.8	367.33	5494.3	3841.1
725_composite_PHILEMON.tif	Tile 4	Other	Image	Rectangle	5251.1	250.05	250106.2	2000.4
725_composite_PHILEMON.tif	Tumor	Tumor	Tile 4	Geometry	5265.2	256.79	115417.3	14065.7
725_composite_PHILEMON.tif	ASMA	ASMA	Tumor	Geometry	5218.2	375.41	469.16	473.18
725_composite_PHILEMON.tif	Stroma	Stroma	Tile 4	Geometry	5227.6	205.07	60418	9790.3
725_composite_PHILEMON.tif	ASMA	ASMA	Stroma	Geometry	5177.3	256.79	6797.4	4468.7
