Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
377_composite_DS1.25.tif	Tile 1	Other	Image	Geometry	1291.7	440.84	53410.5	1213.6
377_composite_DS1.25.tif	Tumor	Tumor	Tile 1	Geometry	1321.1	459.17	21603.9	1801.4
377_composite_DS1.25.tif	ASMA	ASMA	Tumor	Geometry	1186.5	440.79	1523.8	718.19
377_composite_DS1.25.tif	Stroma	Stroma	Tile 1	Geometry	1259.5	423.79	17575.1	1462
377_composite_DS1.25.tif	ASMA	ASMA	Stroma	Geometry	1274.6	415.94	6007	2114.1
377_composite_DS1.25.tif	Tile 2	Other	Image	Geometry	2310.1	325.46	137353.6	1684.3
377_composite_DS1.25.tif	Tumor	Tumor	Tile 2	Geometry	2301.7	343.18	92325.4	5074.4
377_composite_DS1.25.tif	ASMA	ASMA	Tumor	Polygon	2141.1	249.69	67.81	42.38
377_composite_DS1.25.tif	Stroma	Stroma	Tile 2	Geometry	2434	263.85	21205.4	1543.2
377_composite_DS1.25.tif	ASMA	ASMA	Stroma	Geometry	2455.7	249.55	10800.4	3259.1
377_composite_DS1.25.tif	Tile 3	Other	Image	Geometry	2760	272.98	225755.6	1906.4
377_composite_DS1.25.tif	Tumor	Tumor	Tile 3	Geometry	2787.3	242.41	98432.8	4748.2
377_composite_DS1.25.tif	ASMA	ASMA	Tumor	Geometry	2859.4	202.5	231.59	296.28
377_composite_DS1.25.tif	Stroma	Stroma	Tile 3	Geometry	2735.5	300.53	118484.4	3240
377_composite_DS1.25.tif	ASMA	ASMA	Stroma	Geometry	2734.6	299.77	50245	19001.2
377_composite_DS1.25.tif	Tile 4	Other	Image	Rectangle	3249.6	249.97	249930.8	1999.7
377_composite_DS1.25.tif	Tumor	Tumor	Tile 4	Geometry	3259.5	229.01	127617.5	6743
377_composite_DS1.25.tif	ASMA	ASMA	Tumor	Geometry	3416.8	68.23	108.31	165.22
377_composite_DS1.25.tif	Stroma	Stroma	Tile 4	Geometry	3155.2	162	61924.6	2152
377_composite_DS1.25.tif	ASMA	ASMA	Stroma	Geometry	3129.1	148.4	36995.5	7440.7
377_composite_DS1.25.tif	Tile 5	Other	Image	Rectangle	3749.5	249.97	249930.8	1999.7
377_composite_DS1.25.tif	Tumor	Tumor	Tile 5	Geometry	3728.4	217.49	102303.9	6963.7
377_composite_DS1.25.tif	ASMA	ASMA	Tumor	Polygon	3572.8	292.48	10.36	26.2
377_composite_DS1.25.tif	Stroma	Stroma	Tile 5	Geometry	3771.4	111.3	56731.3	2103.5
377_composite_DS1.25.tif	ASMA	ASMA	Stroma	Geometry	3748	142.15	14745.4	7498
377_composite_DS1.25.tif	Tile 6	Other	Image	Rectangle	4249.4	249.97	249930.8	1999.7
377_composite_DS1.25.tif	Tumor	Tumor	Tile 6	Geometry	4273.5	276.03	143249.6	9912.5
377_composite_DS1.25.tif	ASMA	ASMA	Tumor	Polygon	4355.1	492.59	30.36	26.48
377_composite_DS1.25.tif	Stroma	Stroma	Tile 6	Geometry	4159.8	138.65	51584.3	1706.2
377_composite_DS1.25.tif	ASMA	ASMA	Stroma	Geometry	4220.7	123.91	5932.7	3636.9
377_composite_DS1.25.tif	Tile 7	Other	Image	Rectangle	4749.3	249.97	249930.8	1999.7
377_composite_DS1.25.tif	Tumor	Tumor	Tile 7	Geometry	4745.3	327.73	115076.4	9473.3
377_composite_DS1.25.tif	ASMA	ASMA	Tumor	Geometry	4516.7	323.58	34.71	46.77
377_composite_DS1.25.tif	Stroma	Stroma	Tile 7	Polygon	4777.9	86.8	79060.9	1772.4
377_composite_DS1.25.tif	ASMA	ASMA	Stroma	Geometry	4783.8	85.82	18992.7	10805.4
377_composite_DS1.25.tif	Tile 8	Other	Image	Geometry	5243.9	233.97	230384.7	2702.4
377_composite_DS1.25.tif	Tumor	Tumor	Tile 8	Geometry	5272.5	265.4	136548.8	8497.8
377_composite_DS1.25.tif	ASMA	ASMA	Tumor	Geometry	5218.4	198.58	119.46	146.7
377_composite_DS1.25.tif	Stroma	Stroma	Tile 8	Geometry	5176.9	114.93	54660.8	2039.5
377_composite_DS1.25.tif	ASMA	ASMA	Stroma	Geometry	5183.3	143.57	10343.7	6038.9
377_composite_DS1.25.tif	Tile 9	Other	Image	Geometry	5751.2	204.09	203392.5	2023.3
377_composite_DS1.25.tif	Tumor	Tumor	Tile 9	Geometry	5706.6	228.1	95955.5	8633.7
377_composite_DS1.25.tif	ASMA	ASMA	Tumor	Geometry	5777.5	262.23	193.19	235.09
377_composite_DS1.25.tif	Stroma	Stroma	Tile 9	Geometry	5822.6	141.27	79750	2004.1
377_composite_DS1.25.tif	ASMA	ASMA	Stroma	Geometry	5831.3	186.36	14448.8	6928
377_composite_DS1.25.tif	Tile 10	Other	Image	Geometry	6251	248.34	248032.2	1989
377_composite_DS1.25.tif	Tumor	Tumor	Tile 10	Geometry	6212.2	309.89	111560.9	8713.4
377_composite_DS1.25.tif	ASMA	ASMA	Tumor	Geometry	6223.5	302.41	446.12	464.85
377_composite_DS1.25.tif	Stroma	Stroma	Tile 10	Geometry	6307.3	158.42	111247.2	3873.6
377_composite_DS1.25.tif	ASMA	ASMA	Stroma	Geometry	6243.5	177.45	27763.7	11748.1
377_composite_DS1.25.tif	Tile 11	Other	Image	Geometry	6748.9	250.08	249814.1	1991.3
377_composite_DS1.25.tif	Tumor	Tumor	Tile 11	Geometry	6762.7	225	54556.1	3739
377_composite_DS1.25.tif	ASMA	ASMA	Tumor	Geometry	6707.2	284.48	176.9	193.78
377_composite_DS1.25.tif	Stroma	Stroma	Tile 11	Geometry	6730.5	274.21	166641.9	5900.9
377_composite_DS1.25.tif	ASMA	ASMA	Stroma	Geometry	6662.7	242.56	11276	6364.9
377_composite_DS1.25.tif	Tile 12	Other	Image	Geometry	7204.2	311.73	167001.2	1694.9
377_composite_DS1.25.tif	Tumor	Tumor	Tile 12	Polygon	7065.1	450.42	13782.1	664.37
377_composite_DS1.25.tif	ASMA	ASMA	Tumor	Polygon	7008.1	408.73	12.47	15.89
377_composite_DS1.25.tif	Stroma	Stroma	Tile 12	Geometry	7218.5	299.01	149200.8	2706.7
377_composite_DS1.25.tif	ASMA	ASMA	Stroma	Geometry	7230.2	303.8	8061.3	2862.7
377_composite_DS1.25.tif	Tile 13	Other	Image	Geometry	270.22	807.67	184298.1	1741.6
377_composite_DS1.25.tif	Tumor	Tumor	Tile 13	Geometry	252.14	790.46	110649.2	12748.8
377_composite_DS1.25.tif	ASMA	ASMA	Tumor	Geometry	130.64	729.68	1419.7	1187.9
377_composite_DS1.25.tif	Stroma	Stroma	Tile 13	Geometry	382.78	754.32	18618.4	1642.5
377_composite_DS1.25.tif	ASMA	ASMA	Stroma	Geometry	419.06	748.04	8218.3	2816.8
377_composite_DS1.25.tif	Tile 14	Other	Image	Geometry	755.16	758.92	240519.2	1940.7
377_composite_DS1.25.tif	Tumor	Tumor	Tile 14	Geometry	714.81	803.03	76348	5541.8
377_composite_DS1.25.tif	ASMA	ASMA	Tumor	Geometry	706.99	763.67	761.42	897.02
377_composite_DS1.25.tif	Stroma	Stroma	Tile 14	Geometry	791.9	726.95	145528.4	2608.9
377_composite_DS1.25.tif	ASMA	ASMA	Stroma	Geometry	789.25	731.98	82689.8	22801.7
377_composite_DS1.25.tif	Tile 15	Other	Image	Geometry	1248.5	750.9	248520.3	2002.4
377_composite_DS1.25.tif	Tumor	Tumor	Tile 15	Geometry	1355.1	658.74	63827.4	4505.1
377_composite_DS1.25.tif	ASMA	ASMA	Tumor	Polygon	1358.2	812.93	11.49	15.15
377_composite_DS1.25.tif	Stroma	Stroma	Tile 15	Geometry	1186.4	801.73	160040	2626.6
377_composite_DS1.25.tif	ASMA	ASMA	Stroma	Geometry	1222.2	841.99	66582.9	20213.1
377_composite_DS1.25.tif	Tile 16	Other	Image	Geometry	1739.6	847.49	151538.5	1640.1
377_composite_DS1.25.tif	Tumor	Tumor	Tile 16	Geometry	1719.8	818.99	70334.9	6272.6
377_composite_DS1.25.tif	ASMA	ASMA	Tumor	Geometry	1554.1	981.32	25.04	65.69
377_composite_DS1.25.tif	Stroma	Stroma	Tile 16	Geometry	1763.7	908.91	60940.5	2723.7
377_composite_DS1.25.tif	ASMA	ASMA	Stroma	Geometry	1724.1	911.19	27654.8	7923.1
377_composite_DS1.25.tif	Tile 17	Other	Image	Geometry	2264.5	756.39	234014.6	2081.2
377_composite_DS1.25.tif	Tumor	Tumor	Tile 17	Geometry	2184	761.07	105423.3	6687.6
377_composite_DS1.25.tif	ASMA	ASMA	Tumor	Geometry	2314.4	753.14	61.29	109.2
377_composite_DS1.25.tif	Stroma	Stroma	Tile 17	Geometry	2364.1	758.54	108320.5	2103.5
377_composite_DS1.25.tif	ASMA	ASMA	Stroma	Geometry	2355	790.21	60105.4	15739.1
377_composite_DS1.25.tif	Tile 18	Other	Image	Rectangle	2749.6	749.9	249930.8	1999.7
377_composite_DS1.25.tif	Tumor	Tumor	Tile 18	Geometry	2779.4	785.36	133461.1	8126.9
377_composite_DS1.25.tif	ASMA	ASMA	Tumor	Geometry	2735	894.51	105.96	162.63
377_composite_DS1.25.tif	Stroma	Stroma	Tile 18	Geometry	2627.1	723.39	76091.6	2719.3
377_composite_DS1.25.tif	ASMA	ASMA	Stroma	Geometry	2627	730.19	35417.6	10530
377_composite_DS1.25.tif	Tile 19	Other	Image	Rectangle	3249.6	749.9	249930.8	1999.7
377_composite_DS1.25.tif	Tumor	Tumor	Tile 19	Geometry	3260	800.03	79007.3	8548.5
377_composite_DS1.25.tif	Stroma	Stroma	Tile 19	Geometry	3366.9	766.6	72523	1873.9
377_composite_DS1.25.tif	ASMA	ASMA	Stroma	Geometry	3363	768.11	45684.7	10863.9
377_composite_DS1.25.tif	Tile 20	Other	Image	Rectangle	3749.5	749.9	249930.8	1999.7
377_composite_DS1.25.tif	Tumor	Tumor	Tile 20	Geometry	3722.8	772.79	116738.9	9400.5
377_composite_DS1.25.tif	ASMA	ASMA	Tumor	Geometry	3603.3	759.76	81.21	112.34
377_composite_DS1.25.tif	Stroma	Stroma	Tile 20	Geometry	3744.4	867.41	55730.2	2090.2
