Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
SCC3_composite_DS1.25v2.tif	Tile 1	Other	Image	Geometry	13258.1	250.24	249656.6	1995.8
SCC3_composite_DS1.25v2.tif	Tumor	Tumor	Tile 1	Geometry	13239.9	251.62	158953	7937.8
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Tumor	Geometry	13290.9	312.78	146.15	196.44
SCC3_composite_DS1.25v2.tif	Stroma	Stroma	Tile 1	Geometry	13290.1	248.52	93293.1	6070.3
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Stroma	Geometry	13339.8	315.66	7701.3	4807.4
SCC3_composite_DS1.25v2.tif	Tile 2	Other	Image	Geometry	13758	250.2	249699.1	1998.8
SCC3_composite_DS1.25v2.tif	Tumor	Tumor	Tile 2	Geometry	13747.8	256.24	211709.9	5490.9
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Tumor	Geometry	13835.2	118.86	143.87	149.13
SCC3_composite_DS1.25v2.tif	Stroma	Stroma	Tile 2	Geometry	13815.6	217.21	39503.4	4952.4
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Stroma	Geometry	13829.7	243.67	7510.4	4283
SCC3_composite_DS1.25v2.tif	Tile 3	Other	Image	Geometry	14258	250.17	249728	1998.9
SCC3_composite_DS1.25v2.tif	Tumor	Tumor	Tile 3	Geometry	14254.3	234.19	178425.7	7126
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Tumor	Geometry	14156.1	340.29	101.09	158.92
SCC3_composite_DS1.25v2.tif	Stroma	Stroma	Tile 3	Geometry	14267.2	290.19	71230.3	6835.2
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Stroma	Geometry	14228.4	300.87	19328.1	8697
SCC3_composite_DS1.25v2.tif	Tile 4	Other	Image	Geometry	14757.9	250.14	249758.4	1999
SCC3_composite_DS1.25v2.tif	Tumor	Tumor	Tile 4	Geometry	14773.6	244.41	200564.8	6885.9
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Tumor	Geometry	14857.5	272.84	222.88	145.68
SCC3_composite_DS1.25v2.tif	Stroma	Stroma	Tile 4	Geometry	14688.6	270.66	48744.4	6135.4
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Stroma	Geometry	14668.2	332.34	9180.8	4385.7
SCC3_composite_DS1.25v2.tif	Tile 5	Other	Image	Geometry	15257.8	250.11	249788.7	1999.2
SCC3_composite_DS1.25v2.tif	Tumor	Tumor	Tile 5	Geometry	15257.7	275.86	168190.3	6658
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Tumor	Geometry	15161.7	131.2	70.64	119.19
SCC3_composite_DS1.25v2.tif	Stroma	Stroma	Tile 5	Geometry	15256.2	196.58	82463.7	5257
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Stroma	Geometry	15196.1	153.69	13919.8	7268.3
SCC3_composite_DS1.25v2.tif	Tile 6	Other	Image	Geometry	15757.8	250.08	249819.1	1999.3
SCC3_composite_DS1.25v2.tif	Tumor	Tumor	Tile 6	Geometry	15748.8	251.73	197185.9	5618.7
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Tumor	Geometry	15878	171.23	137.63	154.5
SCC3_composite_DS1.25v2.tif	Stroma	Stroma	Tile 6	Geometry	15792.6	243.97	53032.9	4369.8
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Stroma	Geometry	15820.7	230.68	13911	6653.6
SCC3_composite_DS1.25v2.tif	Tile 7	Other	Image	Geometry	16257.7	250.05	249848	1999.4
SCC3_composite_DS1.25v2.tif	Tumor	Tumor	Tile 7	Geometry	16270.6	269.81	175319.3	7450.5
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Tumor	Geometry	16286.8	351.61	95	123.6
SCC3_composite_DS1.25v2.tif	Stroma	Stroma	Tile 7	Geometry	16226.6	203.17	74468.9	6127.7
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Stroma	Geometry	16168.8	202.58	11702.7	6707.1
SCC3_composite_DS1.25v2.tif	Tile 8	Other	Image	Geometry	16757.6	250.02	249877	1999.5
SCC3_composite_DS1.25v2.tif	Tumor	Tumor	Tile 8	Geometry	16730.8	250.61	209928.3	5343.1
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Tumor	Geometry	16691.6	354.71	186.34	222.93
SCC3_composite_DS1.25v2.tif	Stroma	Stroma	Tile 8	Geometry	16899.1	245.21	41252	4301
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Stroma	Geometry	16906.3	166.08	4201.9	2637.3
SCC3_composite_DS1.25v2.tif	Tile 9	Other	Image	Geometry	17257.6	249.99	249907.4	1999.6
SCC3_composite_DS1.25v2.tif	Tumor	Tumor	Tile 9	Geometry	17240	257.08	170156.6	8099.9
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Tumor	Geometry	17301.9	276.67	351.98	467.93
SCC3_composite_DS1.25v2.tif	Stroma	Stroma	Tile 9	Geometry	17295.8	233.34	81899.2	7033.9
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Stroma	Geometry	17314.6	293.41	19227	7950.2
SCC3_composite_DS1.25v2.tif	Tile 10	Other	Image	Geometry	17600.8	286.8	78452.7	1672.4
SCC3_composite_DS1.25v2.tif	Tumor	Tumor	Tile 10	Geometry	17589.9	319.86	37643.2	3362.8
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Tumor	Geometry	17597.4	231.18	197.31	207.48
SCC3_composite_DS1.25v2.tif	Stroma	Stroma	Tile 10	Geometry	17608.7	251.27	41978.2	2837.8
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Stroma	Geometry	17626	344.67	8249.2	4118.7
SCC3_composite_DS1.25v2.tif	Tile 11	Other	Image	Geometry	21296.1	308.59	178137.3	1797.3
SCC3_composite_DS1.25v2.tif	Tumor	Tumor	Tile 11	Geometry	21277.5	404.83	74038.1	2515.9
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Tumor	Geometry	21131	381.19	123.01	128.02
SCC3_composite_DS1.25v2.tif	Stroma	Stroma	Tile 11	Geometry	21313.1	239.94	104343	3583.7
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Stroma	Geometry	21329.9	242.11	24170.3	12922.3
SCC3_composite_DS1.25v2.tif	Tile 12	Other	Image	Rectangle	21756.9	249.97	249930.8	1999.7
SCC3_composite_DS1.25v2.tif	Tumor	Tumor	Tile 12	Geometry	21668	417.63	46795.4	1902.6
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Tumor	Geometry	21972.4	290.57	70.64	81.67
SCC3_composite_DS1.25v2.tif	Stroma	Stroma	Tile 12	Geometry	21776.4	212.79	205113.3	3087.9
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Stroma	Geometry	21807.1	237.63	61713.9	28881.2
SCC3_composite_DS1.25v2.tif	Tile 13	Other	Image	Geometry	22193.8	299.5	167143.1	1763
SCC3_composite_DS1.25v2.tif	Tumor	Tumor	Tile 13	Geometry	22199.5	260.97	20645	3367.3
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Tumor	Geometry	22230.2	199.59	516.04	635.18
SCC3_composite_DS1.25v2.tif	Stroma	Stroma	Tile 13	Geometry	22192.8	304.41	147356.8	4252.4
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Stroma	Geometry	22179.7	291.85	31309.9	19160.2
SCC3_composite_DS1.25v2.tif	Tile 14	Other	Image	Geometry	12351.8	898.63	71085	1386.4
SCC3_composite_DS1.25v2.tif	Tumor	Tumor	Tile 14	Geometry	12356.2	921	47364.4	2528.4
SCC3_composite_DS1.25v2.tif	Stroma	Stroma	Tile 14	Geometry	12340.5	854.52	25533.5	1977.3
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Stroma	Geometry	12369.7	823.43	285	247.21
SCC3_composite_DS1.25v2.tif	Tile 15	Other	Image	Geometry	12773.5	766.47	229880.9	1883.4
SCC3_composite_DS1.25v2.tif	Tumor	Tumor	Tile 15	Geometry	12794.8	728.89	127053.7	8113.3
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Tumor	Geometry	12779.3	884.1	84.04	101.53
SCC3_composite_DS1.25v2.tif	Stroma	Stroma	Tile 15	Geometry	12749	813.4	112574.6	6406.2
SCC3_composite_DS1.25v2.tif	ASMA	ASMA	Stroma	Geometry	12678	826.02	2197.2	1653.2
SCC3_composite_DS1.25v2.tif	Tile 16	Other	Image	Rectangle	13258.1	749.9	249930.8	1999.7
