Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
571_composite_redo.tif	Tile 1	Other	Image	Geometry	2250.3	250.05	250043.3	2000
571_composite_redo.tif	Tumor	Tumor	Tile 1	Geometry	2270.9	276.98	89737.9	14669.3
571_composite_redo.tif	ASMA	ASMA	Tumor	Geometry	2225.1	306.59	7639.9	6117
571_composite_redo.tif	Stroma	Stroma	Tile 1	Geometry	2269.5	190.12	88003.1	11856.3
571_composite_redo.tif	ASMA	ASMA	Stroma	Geometry	2264.6	180.82	5965.4	4511.6
571_composite_redo.tif	Tile 2	Other	Image	Geometry	2750.3	250.3	249791.9	1999.2
571_composite_redo.tif	Tumor	Tumor	Tile 2	Geometry	2752.4	256.27	137014.6	15543.8
571_composite_redo.tif	ASMA	ASMA	Tumor	Geometry	2691.5	296.51	11005.4	8690.5
571_composite_redo.tif	Stroma	Stroma	Tile 2	Geometry	2752.3	237.83	69675.7	12056.1
571_composite_redo.tif	ASMA	ASMA	Stroma	Geometry	2694.1	261.13	3867.6	3025.1
571_composite_redo.tif	Tile 3	Other	Image	Geometry	3250.4	250.62	249478.7	1997.9
571_composite_redo.tif	Tumor	Tumor	Tile 3	Geometry	3246.1	260.67	129671.6	13747.9
571_composite_redo.tif	ASMA	ASMA	Tumor	Geometry	3210.1	288.78	13705.8	9085.5
571_composite_redo.tif	Stroma	Stroma	Tile 3	Geometry	3258.1	247.97	84477.1	10450
571_composite_redo.tif	ASMA	ASMA	Stroma	Geometry	3281.2	231.61	8617.3	5350.7
571_composite_redo.tif	Tile 4	Other	Image	Geometry	3750.4	250.93	249165.5	1996.7
571_composite_redo.tif	Tumor	Tumor	Tile 4	Geometry	3756	262.21	124802.3	13075.4
571_composite_redo.tif	ASMA	ASMA	Tumor	Geometry	3774.9	278.71	13373.5	8758.7
571_composite_redo.tif	Stroma	Stroma	Tile 4	Geometry	3762.9	226.06	67092	10327.6
