cluster,lineage,sub_lineage,norm_group,lig_rec_group,source
9,B&plasma,IgG,B&plasma,B&plasma,
17,B&plasma,IgG,B&plasma,B&plasma,
28,B&plasma,IgG,B&plasma,B&plasma,
31,B&plasma,IgA,B&plasma,B&plasma,
40,B&plasma,IgM,B&plasma,B&plasma,
43,B&plasma,IgD,B&plasma,B&plasma,
46,B&plasma,IgG,B&plasma,B&plasma,
56,B&plasma,B,B&plasma,B&plasma,
14,MNP,cDC2,DC,DC,
41,MNP,mregDC,DC,DC,
45,MNP,cDC1,DC,DC,
3,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,
4,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,
6,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,
12,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,
15,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,
21,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,
22,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,
24,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,
26,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,
27,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,
60,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,epi_endo_fibro_doublet,
7,lin_neg,mast,lin_neg,mast,
13,lin_neg,NK,lin_neg,NK,
29,MNP,moDC,mo&mac,MoMac,
30,MNP,moDC,mo&mac,MoMac,
37,lin_neg,pDC,lin_neg,pDC,
52,MNP,moDC,mo&mac,MoMac,
2,MNP,CD14 mono,mo&mac,MoMac,
5,MNP,MoMac-IV,mo&mac,MoMac,
8,MNP,IM,mo&mac,MoMac,
10,MNP,AM,mo&mac,MoMac,
11,MNP,MoMac-II,mo&mac,MoMac,
16,MNP,AZU1_mac,mo&mac,MoMac,
23,MNP,CD16 mono,mo&mac,MoMac,
25,MNP,AM,mo&mac,MoMac,
32,MNP,MoMac-III,mo&mac,MoMac,
33,MNP,MoMac-III,mo&mac,MoMac,
35,MNP,MoMac-I,mo&mac,MoMac,
36,MNP,CD14 mono,mo&mac,MoMac,
38,MNP,MoMac-III,mo&mac,MoMac,
42,MNP,MoMac-II,mo&mac,MoMac,
47,MNP,MoMac-IV,mo&mac,MoMac,
49,MNP,CD14 mono,mo&mac,MoMac,
54,MNP,AM,mo&mac,MoMac,
55,MNP,AM,mo&mac,MoMac,
57,MNP,AM,mo&mac,MoMac,
58,MNP,CD14 mono,mo&mac,MoMac,
1,T,T_GZMK,T,T,
18,T,Tcycle,T,T,
19,T,Treg,T,T,
20,T,T_Nklike,T,T,
34,T,Tcm/naive_II,T,T,
39,T,Tcm/naive_I,T,T,
44,T,T_activated,T,T,
48,T,CD8 Trm,T,T,
50,T,CD4 Trm,T,T,
51,T,Tcm/naive_I,T,T,
53,T,Tcm/naive_II,T,T,
59,T,CD4 Trm,T,T,
