tileNumber,tumor_stroma_log_cd8_ratio,MYH11+aSMA+ scores,tumor_CD8_density,stromal_CD8_density,stromal_CD3_density,tumor_CD3_density,tumor_stroma_log_cd3_ratio
1,0.211,0,235.503,1117.018,3031.905,1177.514,0.388
2,0.42,1.584962501,927.098,2208.803,5369.091,1806.407,0.336
3,0.315,2,445.033,1412.985,4161.882,1107.407,0.266
4,0.218,0.584962501,519.853,2383.396,5958.489,1126.348,0.189
5,0.246,2.169925001,397.214,1614.486,4630.558,1116.696,0.241
6,0.37,2.321928095,165.937,448.087,1433.878,450.4,0.314
7,0.324,2.584962501,488.047,1506.499,3712.445,1342.128,0.362
8,0.124,1.584962501,133.598,1080.549,2892.547,308.945,0.107
9,0.339,1.263034406,322.084,948.843,2518.083,679.955,0.27
10,0.18,2.502500341,228.114,1269.99,2887.243,664.505,0.23
11,0.161,1.378511623,505.023,3127.256,5285.062,977.463,0.185
12,0.542,1.321928095,885.052,1634.157,3739.421,1616.922,0.432
13,0.318,2.169925001,535.63,1684.019,3738.152,1083.716,0.29
14,0.247,1,382.703,1551.613,3235.277,932.225,0.288
15,0.23,2,261.035,1134.668,2867.063,459.422,0.16
16,0.102,3.906890596,150.716,1474.241,4549.54,452.148,0.099
17,0.154,4,236.631,1535.426,4335.322,672.033,0.155
18,0.164,2.807354922,232.942,1416.651,3674.152,605.65,0.165
19,0.606,3.584962501,509.046,840.042,2449.136,921.132,0.376
20,0.227,4.169925001,122.683,539.964,1525.986,497.948,0.326
21,0.112,3.584962501,77.694,695.509,1738.772,379.839,0.218
22,0.226,2.263034406,200.463,887.469,2795.527,438.049,0.157
23,0.092,2.321928095,198.384,2153.637,4130.019,522.063,0.126
24,0.319,0,995.387,3120.736,7257.526,2093.745,0.288
25,0.269,0,506.323,1882.178,4185.543,1244.109,0.297
26,0.251,0,534.144,2126.152,5260.011,1270.075,0.241
27,0.215,1.736965594,177.885,828.749,3093.997,1074.423,0.347
28,0.441,3,496.043,1124.148,3021.148,1500.531,0.497
29,0.816,2.115477217,438.512,537.393,1888.551,1192.753,0.632
30,0.237,2.700439718,150.632,636.773,1979.159,811.741,0.41
31,0.494,1.700439718,214.174,433.593,957.517,457.553,0.478
32,0.145,2.807354922,219.945,1516.633,3307.705,681.83,0.206
33,0.225,0.736965594,296.473,1317.741,3313.845,795.797,0.24
34,0.465,0.485426827,753.404,1619.893,3719.753,1438.317,0.387
35,0.205,1.584962501,452.489,2212.172,4487.549,798.511,0.178
36,0.35,1.523561956,489.465,1399.385,3491.603,1062.242,0.304
37,0.213,2.115477217,227.613,1068.225,2136.45,516.507,0.242
38,0.086,1.584962501,105.157,1219.227,2167.514,300.447,0.139
39,0.52,2.415037499,192.877,371.114,1457.948,395.398,0.271
40,0.221,2.523561956,359.258,1627.468,4003.77,770.907,0.193
41,0.426,3.459431619,798.145,1871.836,4344.262,1325.076,0.305
42,0.29,3.392317423,287.972,992.476,2806.311,729.53,0.26
43,0.239,3.700439718,296.097,1237.551,3061.311,1052.789,0.344
44,0.268,4.087462841,321.728,1198.619,3064.394,651.115,0.212
45,0.309,3.169925001,316.754,1025.474,2576.832,724.008,0.281
46,0.466,3.169925001,247.032,529.582,2068.68,786.011,0.38
47,0.105,2.906890596,238.825,2285.352,4935.239,762.404,0.154
48,0.434,3,359.717,828.505,2576.132,1188.157,0.461
49,0.247,0,673.631,2726.056,5987.587,1556.319,0.26
50,0.375,1,831.835,2219.283,5063.537,1826.776,0.361
51,0.242,0.415037499,442.65,1826.983,6002.943,929.564,0.155
52,0.196,0.584962501,322.231,1645.367,4909.127,785.439,0.16
53,0.214,1.263034406,249.258,1162.866,3057.906,699.53,0.229
54,0.189,2.584962501,148.814,788.067,1818.615,641.045,0.352
55,0.208,3.169925001,56.178,269.584,731.729,351.113,0.48
56,0.698,2.584962501,318.806,456.998,843.689,850.149,1.008
57,0.553,1.736965594,325.968,589.711,1292.828,896.413,0.693
58,0.514,2.321928095,173.285,336.808,850.04,476.535,0.561
59,0.61,-0.502500341,285.201,467.454,1393.543,998.205,0.716
60,1.082,-1,462.65,427.595,911.452,1079.517,1.184
61,0.188,0.415037499,391.706,2086.403,4109.098,609.321,0.148
62,0.128,2.584962501,211.284,1650.427,4032.57,551.175,0.137
63,0.283,2.662965013,545.681,1925.401,4306.366,1221.673,0.284
64,0.457,0.893084796,502.241,1099.6,2620.963,1127.672,0.43
65,0.257,2.169925001,391.05,1521.48,3255.64,855.422,0.263
66,0.458,2.938599455,205.434,448.637,1733.922,537.288,0.31
67,0.12,3.169925001,175.656,1459.575,2975.598,508.479,0.171
68,0.307,3.321928095,268.958,876.098,2027.542,648.664,0.32
69,0.199,3.584962501,279.177,1400.17,3508.119,847.157,0.241
70,0.135,2.584962501,298.698,2211.411,4080.58,597.395,0.146
71,0.06,2.700439718,204.266,3431.357,6007.362,427.101,0.071
72,0.136,3.807354922,300.814,2216.639,4730.631,641.208,0.136
73,0.282,3.459431619,299.247,1060.742,2738.195,620.391,0.227
74,0.182,2.700439718,218.682,1202.306,3661.569,852.858,0.233
75,0.348,3.459431619,412.81,1185.327,3363.022,1057.196,0.314
76,0.195,0,511.131,2622.536,6963.284,1296.082,0.186
77,0.247,1,225.734,915.159,3265.452,627.822,0.192
78,0.89,1.584962501,551.455,619.462,1467.146,995.683,0.679
79,0.6,0,913.101,1521.852,3255.607,1304.431,0.401
80,0.818,1,878.56,1073.676,2594.716,1619.061,0.624
81,0.544,1,289.707,532.747,1997.802,682.881,0.342
82,0.203,1,353.027,1740.635,3588.385,1088.499,0.303
83,0.389,0.584962501,949.994,2440.716,4289.522,2326.798,0.542
84,0.14,1.736965594,290.949,2072.369,3108.554,1272.9,0.409
85,0.944,2.807354922,300.583,318.336,1023.223,880.278,0.86
86,0.821,1.906890596,455.393,554.548,1607.057,1411.72,0.878
87,1.224,3.807354922,543.923,444.467,854.745,1460.004,1.708
88,0.486,1,388.528,799.5,1869.102,952.519,0.51
89,0.337,-1.321928095,422.742,1252.597,2288.077,1268.225,0.554
90,1.904,-0.169925001,1111.712,583.871,1187.534,1920.23,1.617
91,0.202,1.321928095,421.532,2089.981,4774.222,881.385,0.185
92,0.165,3.169925001,305.198,1848.323,4270.263,644.307,0.151
93,0.193,3.906890596,469.653,2430.14,5239.736,976.143,0.186
94,0.14,3.169925001,449.913,3211.372,6465.078,1349.738,0.209
95,0.399,3.415037499,408.59,1023.923,2189.364,768.149,0.351
96,0.376,2.754887502,376.951,1003.039,2410.405,697.359,0.289
97,0.181,2,307.516,1698.409,3615.186,605.987,0.168
98,0.429,3.169925001,510.217,1188.804,2927.797,870.37,0.297
99,0.219,2.502500341,144.493,660.247,1401.342,297.013,0.212
100,0.193,2.807354922,307.112,1588.596,3542.484,623.822,0.176
101,0.081,3.321928095,226.525,2805.81,5222.696,715.343,0.137
102,0.4,3.807354922,367.317,918.421,2066.448,659.672,0.319
103,0.184,3.247927513,209.559,1137.636,3022.862,558.824,0.185
104,0.233,2.321928095,466.212,2004.931,4690.548,1076.525,0.23
105,0.243,2.874469118,184.152,757.782,2350.409,678.014,0.288
106,0.474,1.584962501,351.032,741.224,2181.316,830.489,0.381
107,0.788,1.736965594,154.395,195.978,940.693,345.119,0.367
108,0.35,2.321928095,142.758,408.187,1133.854,485.377,0.428
109,0.946,1,485.759,513.252,1761.704,944.53,0.536
110,1.039,1.807354922,560.054,538.772,1928.238,1262.666,0.655
111,0.75,2.169925001,374.628,499.27,1483.941,1019.822,0.687
112,0.639,1.584962501,342.882,536.892,1073.783,685.764,0.639
113,0.963,0.847996907,926.405,961.695,1955.094,1900.319,0.972
114,1.387,0.807354922,362.387,261.188,1436.534,966.366,0.673
115,0.576,1.807354922,67.748,117.695,588.473,609.731,1.036
116,0.704,1.263034406,586,832.686,1945.856,1456.121,0.748
117,0,0.169925001,0,171.893,1088.657,578.62,0.531
118,0.395,1.584962501,268.743,680.749,1974.172,507.626,0.257
119,NA,0,NA,1459.86,2441.348,NA,NA
120,0.249,1.321928095,305.854,1227.105,2767.001,1136.028,0.411
121,0.125,1.736965594,250.387,2007.145,4064.191,733.277,0.18
122,0.171,2.584962501,434.293,2543.538,5351.883,784.141,0.147
123,0.202,1,878.082,4347.566,8966.573,1756.163,0.196
124,0.181,1.874469118,720.264,3976.697,7179.587,1499.325,0.209
125,0.283,3,295.902,1045.546,2422.355,609.21,0.251
126,0.496,3.169925001,444.677,897.13,2445.748,879.687,0.36
127,0.353,1.925999419,491.24,1391.037,3335.497,1043.885,0.313
128,0.202,2.137503524,257.611,1275.161,2848.113,601.093,0.211
129,0.293,3.807354922,198.374,677.861,1817.043,366.229,0.202
130,0.184,2,187.465,1017.395,2582.026,403.05,0.156
131,0.335,3.392317423,429.937,1281.532,3222.403,1173.369,0.364
132,0.16,2.91753784,152.459,951.445,2824.129,781.353,0.277
133,0.078,3,87.543,1115.3,2865.462,525.259,0.183
134,0.233,2.584962501,285.2,1224.725,3851.245,721.912,0.187
135,0.225,2,360.69,1604.381,4505.637,1210.314,0.269
136,0.39,1,278.457,713.621,2831.466,922.885,0.326
137,0.21,1,118.118,561.193,1362.898,379.666,0.279
138,0.344,1,100.152,291.215,1123.257,420.639,0.374
139,0.391,1.584962501,303.319,775.321,1617.481,923.144,0.571
140,1.976,0.736965594,790.071,399.733,839.438,1664.193,1.983
141,0.754,1.222392421,647.725,859.604,1399.927,1360.223,0.972
142,1.357,0.736965594,1133.495,835.456,1416.027,1907.59,1.347
143,0.623,1,461.915,741.788,1340.276,750.612,0.56
144,0.363,0,737.675,2031.007,3567.574,1284.983,0.36
145,0.576,1.700439718,752.621,1306.03,3553.824,1234.298,0.347
146,0.232,2.807354922,334.853,1443.587,3755.345,734.817,0.196
147,0.26,3.700439718,257.446,989.72,3317.919,686.521,0.207
148,0.158,1.321928095,139.992,883.449,2516.804,643.965,0.256
149,0.155,1.321928095,150.467,972.957,2224.788,714.718,0.321
150,0.139,1,185.113,1334.355,2401.838,493.635,0.206
151,0.829,0.415037499,786.117,948.307,1568.176,1965.293,1.253
152,0.654,1.584962501,968.201,1480.764,2950.951,1521.459,0.516
153,0.159,1.415037499,444.818,2795.824,5660.68,800.673,0.141
154,0.21,1.807354922,401.485,1914.089,3365.431,864.737,0.257
155,0.541,1.459431619,698.579,1292.099,3593.098,1268.473,0.353
156,0.334,1.807354922,628.361,1880.069,4254.118,1168.36,0.275
157,0.158,1.514573173,287.383,1820.262,3545.108,596.053,0.168
158,0.124,1.137503524,167.315,1350.456,2713.898,243.367,0.09
159,0.232,2.584962501,182.983,789.243,1835.848,393.414,0.214
160,0.054,1.584962501,159.344,2975.975,5170.899,495.737,0.096
161,0.067,3.584962501,145.919,2165.315,4128.118,291.838,0.071
162,0.296,2.584962501,182.9,618.204,2133.411,829.145,0.389
163,0.137,3.087462841,408.89,2978.969,5444.323,990.772,0.182
164,0.305,2.247927513,281.151,920.972,2752.451,712.25,0.259
165,0.181,3,318.871,1759.989,4585.888,963.86,0.21
166,0.154,0.584962501,111.854,724.595,2354.935,969.406,0.412
167,0.31,0.584962501,150.393,485.671,1557.005,462.749,0.297
168,0.262,1.584962501,66.243,252.448,1026.623,344.464,0.336
169,0.259,1,81.76,315.342,630.684,395.174,0.627
