,,Patient ID,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Adjacent,Adjacent,Adjacent,Adjacent,Adjacent,Adjacent,Adjacent,Adjacent,Adjacent,Adjacent,Adjacent,Adjacent,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor
Cluster ID,Cluster annotation,11,15,14,4,2,7,10,8,3,1,5,13,11,15,14,4,2,7,10,6,12,8,3,1,5,13,9
1,Meso. fib.,NA,NA,NA,279,NA,NA,5,NA,NA,2,20,1,2,NA,NA,602,2,NA,NA,NA,1,NA,1,NA,2,NA,4
2,General capillary,196,6,3,NA,45,1334,23,39,209,7,117,425,4,1,2,3,2,100,178,357,15,NA,2,NA,2,200,3
3,SELE+ venule,1,7,5,396,119,5,163,2,1,165,131,NA,NA,4,NA,100,18,20,NA,NA,1,NA,71,27,37,NA,82
4,Alv. fib.,237,33,130,4,13,13,21,42,40,2,12,17,104,41,3,2,3,9,17,19,20,7,NA,1,4,36,10
5,Pericyte,NA,NA,NA,2,1,NA,1,2,1,2,1,NA,3,19,7,72,157,1,NA,268,62,29,201,44,4,8,40
6,Contamination,NA,1,1,152,2,5,8,3,27,4,4,6,NA,2,15,18,7,1,15,5,52,7,43,1,10,55,11
7,Smooth muscle,82,2,14,7,5,36,18,83,27,5,6,57,60,6,17,13,20,30,49,81,140,44,37,27,5,100,173
8,Inf. alv. fib.,2,11,19,42,134,NA,6,2,3,43,5,NA,NA,22,NA,21,50,4,1,NA,2,NA,26,3,2,1,14
9,Adv. Fib./MSC,1,25,6,56,74,1,NA,NA,5,129,11,1,27,2,NA,1,6,25,NA,NA,NA,NA,NA,2,3,8,36
10,Lymphatics,15,36,1,127,62,3,2,1,NA,2,1,5,33,7,NA,6,12,7,3,5,4,NA,1,NA,4,25,52
11,MYH11+aSMA+ CAF,8,NA,1,NA,NA,NA,NA,NA,1,1,NA,2,161,44,1,3,NA,1,1,11,39,206,NA,2,18,278,6
12,Pericyte,82,36,19,4,46,18,94,189,60,3,23,71,52,23,1,5,8,4,16,101,151,44,10,1,1,73,7
13,Epithelial,NA,NA,NA,43,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,720,1,NA,1,1,NA,126,69,2,6,82
14,Aerocyte,91,443,68,NA,71,152,19,20,38,3,2,474,38,159,5,1,1,3,3,2,NA,1,NA,NA,2,237,27
15,General capillary,137,120,52,8,651,76,19,89,91,42,88,1098,30,67,NA,28,18,17,29,39,21,14,22,NA,14,316,39
16,Contamination,NA,2,6,109,NA,3,3,40,11,6,3,3,1,14,23,34,25,NA,18,11,38,30,24,2,14,16,9
17,CCL19+ PvC,7,NA,NA,1,3,NA,2,2,2,4,1,NA,5,21,7,22,76,1,NA,195,84,40,70,151,10,13,95
18,High mitochondrial content,6,7,15,21,4,NA,6,1,1,NA,1,21,18,44,11,81,50,1,11,3,5,NA,6,NA,4,55,15
19,CLU+ fib.,18,6,39,16,102,10,4,5,16,39,8,5,10,2,NA,3,5,1,3,2,15,1,5,1,9,12,7
20,ADH1B+ CAF,14,2,17,35,NA,1,4,3,1,7,18,3,64,239,26,19,7,5,5,7,104,26,3,12,27,210,94
21,Inflamed EC,NA,89,8,9,1232,40,29,10,7,30,27,3,NA,63,NA,22,27,3,2,4,NA,NA,31,NA,1,3,9
22,FAP+aSMA+ CAF,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,948,1,NA,2,NA,NA,33,22,1,1,1
23,Venule,224,NA,7,68,4,11,391,28,2,92,34,68,316,30,39,92,17,195,19,19,43,121,271,118,85,82,561
24,FAP+ CAF,1,NA,NA,43,2,NA,NA,1,NA,3,NA,NA,1,2,2,307,125,NA,3,9,37,1,250,119,3,22,33
25,Smooth muscle,1,3,2,64,223,9,14,11,2,46,3,1,3,5,NA,30,37,7,NA,NA,NA,NA,11,11,1,4,28
26,FAP+aSMA+ CAF,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,1,NA,19,15,2,NA,11,10,1,11,1481,42,9,7
27,Arteries,143,33,58,43,57,71,347,60,15,24,164,174,131,51,12,151,20,69,119,70,41,32,82,20,134,115,178
28,Tip cells,106,NA,32,36,8,3,147,25,NA,13,8,4,176,56,26,101,40,60,8,104,29,58,90,40,60,137,200
