tileNumber,tumor_stroma_log_cd8_ratio,tumor_CD8_density,stromal_CD8_density,aSMA_stroma_area,stromal_CD3_density,tumor_CD3_density,tumor_stroma_log_cd3_ratio
1,0,0,113.797,34.179,512.088,879.471,1.717
2,NA,0,0,50.932,0,10.831,NA
3,0,0,565.475,42.406,1384.148,30.478,0.022
4,0,0,32.297,59.743,226.081,7.836,0.035
5,0,0,88.135,25.992,317.285,9.775,0.031
6,0,0,426.486,11.501,1512.088,20.942,0.014
7,0,0,177.079,24.023,556.533,0,0
8,0.04,21.97,548.839,18.923,1207.447,51.264,0.042
9,0.013,10.421,789.969,18.118,4238.245,166.744,0.039
10,0.023,17.927,764.064,24.957,2436.016,80.673,0.033
11,0.063,73.319,1164.173,6.767,2634.391,128.308,0.049
12,0,0,1320.368,5.403,5388.711,0,0
13,NA,0,53.71,44.141,53.71,99.413,1.851
14,0,0,377.933,56.820,1333.073,0,0
15,0.019,15.667,818.545,41.604,2849.288,31.335,0.011
16,0,0,410.236,45.380,1690.173,71.088,0.042
17,0,0,350.811,55.488,1384.779,9.486,0.007
18,0,0,486.256,46.546,1261.637,22.478,0.018
19,0.035,12.657,358.507,62.993,1089.31,12.657,0.012
20,0,0,233.267,64.980,538.308,34.264,0.064
21,0,0,640.567,29.164,1245.547,8.035,0.006
22,0,0,718.632,26.554,2372.069,0,0
23,0.022,20.319,910.148,28.377,2857.866,60.956,0.021
24,0.025,33.509,1316.732,18.147,3291.829,122.867,0.037
25,0.012,12.918,1072.883,7.401,2786.88,90.425,0.032
26,NA,NA,1805.248,3.633,5051.458,NA,NA
27,NA,0,0,21.558,51.243,15.901,0.31
28,0.088,12.402,141.27,14.080,918.254,24.804,0.027
29,0,0,551.347,68.073,1828.859,8.7,0.005
30,0,0,120.357,62.669,414.564,14.594,0.035
31,NA,0,0,67.648,78.542,21.566,0.275
32,0,0,231.397,50.252,867.738,0,0
33,0,0,132.015,56.705,684.079,27.737,0.041
34,0,0,542.799,51.426,1404.891,18.661,0.013
35,0.028,11.225,395.499,33.241,1287.049,22.451,0.017
36,0.043,7.538,175.732,10.769,1098.327,37.688,0.034
37,0.013,13.409,1027.521,15.423,2972.472,80.454,0.027
38,0.674,282.68,419.616,24.931,1258.849,353.35,0.281
39,NA,7.575,13.468,61.697,94.275,15.151,0.161
40,0,0,51.464,50.748,380.837,16.496,0.043
41,0.175,9.982,57.2,63.138,400.402,19.963,0.05
42,0.49,18.738,38.224,64.970,458.684,28.106,0.061
43,0,0,316.083,55.454,1189.622,0,0
